"D:\temp\HonghaoSu\October-2022\001-CoTXSS1.D"," +EI TIC Scan 001-CoTXSS1.D "
"D:\temp\HonghaoSu\October-2022\001-CoTXSS1.D" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"D:\temp\HonghaoSu\October-2022\001-CoTXSS1.D" ,"41" ,7.419,7.452,7.526,410703.32,1114657.92,10.61,7.48,0.90,0.108,0.052,224633.00,209162.00,7.410,7.419,7.518,7.526,198324.49,195990.79,2.14,608310.00,,,  ,71.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\001-CoTXSS1.D" ,"42" ,7.526,7.551,7.584,210960.48,266421.79,2.54,3.84,0.22,0.058,0.019,209162.00,200192.00,7.518,7.526,7.576,7.584,195990.79,194734.34,0.82,406413.00,,,  ,91.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\001-CoTXSS1.D" ,"43" ,7.584,7.617,7.680,529181.83,881679.44,8.39,9.64,0.71,0.095,0.021,200192.00,192667.59,7.576,7.584,7.684,7.717,194734.34,192667.59,2.19,723198.00,,,  ,71.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\001-CoTXSS1.D" ,"44" ,7.716,7.783,7.878,182748.03,577988.26,5.50,3.33,0.47,0.162,0.036,191582.81,188675.47,7.684,7.717,7.849,7.891,191582.81,188675.47,1.34,373124.00,,,  ,71.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\001-CoTXSS1.D" ,"45" ,7.940,7.965,8.022,51265.62,134441.80,1.28,0.93,0.11,0.082,0.063,188825.00,186524.01,7.932,7.949,8.023,8.031,186902.07,186524.01,2.41,238053.00,,,  ,73.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\001-CoTXSS1.D" ,"46" ,8.033,8.048,8.073,137275.82,181298.48,1.73,2.50,0.15,0.040,0.021,186475.17,215199.00,8.023,8.031,8.073,8.081,186475.17,186290.50,2.56,323681.00,,,  ,73.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\001-CoTXSS1.D" ,"47" ,8.073,8.106,8.156,451311.34,796903.20,7.59,8.22,0.64,0.083,0.023,215199.00,196260.00,8.073,8.081,8.147,8.156,186290.50,185908.30,1.74,637449.00,,,  ,71.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\001-CoTXSS1.D" ,"48" ,8.156,8.172,8.237,158073.08,329585.81,3.14,2.88,0.27,0.081,0.052,196260.00,185534.73,8.147,8.156,8.238,8.255,185908.30,185534.73,3.73,343905.00,,,  ,109.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\001-CoTXSS1.D" ,"49" ,8.257,8.288,8.385,4960291.19,7509662.20,71.50,90.34,6.06,0.129,0.023,185442.70,184847.62,8.238,8.255,8.388,8.404,185442.70,184847.62,1.46,5145588.00,,,  ,69.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\001-CoTXSS1.D" ,"50" ,8.409,8.445,8.472,294535.66,443997.95,4.23,5.36,0.36,0.063,0.023,185458.81,185297.90,8.388,8.404,8.479,8.495,185458.81,185297.90,0.69,479901.00,,,  ,71.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\001-CoTXSS1.D" ,"51" ,8.611,8.644,8.696,479715.16,860396.30,8.19,8.74,0.69,0.085,0.026,229804.00,184722.84,8.611,8.619,8.719,8.752,184940.73,184722.84,1.06,664571.00,,,  ,71.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\001-CoTXSS1.D" ,"52" ,8.811,8.835,8.892,77170.48,172949.18,1.65,1.41,0.14,0.080,0.033,182724.69,182317.22,8.719,8.752,8.884,8.901,182724.69,182317.22,2.39,259777.00,,,  ,71.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\001-CoTXSS1.D" ,"53" ,8.926,8.959,9.050,4222855.20,6479572.39,61.69,76.91,5.23,0.124,0.024,204305.00,192566.00,8.884,8.901,9.042,9.058,182143.28,181511.55,1.02,4404830.00,,,  ,69.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\001-CoTXSS1.D" ,"54" ,9.050,9.083,9.133,734909.84,1297211.85,12.35,13.38,1.05,0.083,0.026,192566.00,210425.00,9.042,9.058,9.125,9.141,181511.55,181090.43,1.69,916253.00,,,  ,71.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\001-CoTXSS1.D" ,"55" ,9.133,9.183,9.216,230486.21,556838.38,5.30,4.20,0.45,0.083,0.032,210425.00,216652.00,9.125,9.141,9.207,9.224,181090.43,180669.31,0.71,411324.00,,,  ,69.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\001-CoTXSS1.D" ,"56" ,9.216,9.249,9.288,267911.09,497522.29,4.74,4.88,0.40,0.072,0.028,216652.00,180303.75,9.207,9.224,9.299,9.365,180669.31,180303.75,0.61,448412.00,,,  ,71.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\001-CoTXSS1.D" ,"57" ,9.370,9.406,9.481,472998.85,1115644.01,10.62,8.61,0.90,0.110,0.026,179926.79,252730.00,9.299,9.365,9.472,9.489,179926.79,179594.77,3.39,652818.00,,,  ,69.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\001-CoTXSS1.D" ,"58" ,9.481,9.497,9.555,94090.10,226781.97,2.16,1.71,0.18,0.075,0.047,252730.00,185493.00,9.472,9.489,9.547,9.564,179594.77,179370.39,1.96,273635.00,,,  ,207.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\001-CoTXSS1.D" ,"59" ,9.555,9.588,9.613,158728.36,272666.07,2.60,2.89,0.22,0.058,0.028,185493.00,212778.00,9.547,9.564,9.613,9.622,179370.39,179195.88,1.44,337999.00,,,  ,69.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\001-CoTXSS1.D" ,"60" ,9.613,9.655,9.771,501221.80,1194514.09,11.37,9.13,0.96,0.157,0.028,212778.00,186688.00,9.613,9.622,9.762,9.779,179195.88,178722.14,2.96,680293.00,,,  ,71.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\001-CoTXSS1.D" ,"61" ,9.771,9.804,9.837,173528.56,310847.08,2.96,3.16,0.25,0.066,0.028,186688.00,192855.00,9.762,9.779,9.837,9.845,178722.14,178522.69,1.41,352151.00,,,  ,81.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\001-CoTXSS1.D" ,"62" ,9.837,9.911,9.969,461674.69,1190005.92,11.33,8.41,0.96,0.133,0.034,192855.00,217168.00,9.837,9.845,9.953,9.969,178522.69,178123.81,0.90,639973.00,,,  ,71.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\001-CoTXSS1.D" ,"63" ,9.969,9.994,10.027,93450.00,187429.29,1.78,1.70,0.15,0.058,0.035,217168.00,181458.00,9.953,9.969,10.019,10.036,178123.81,177949.25,0.66,271499.00,,,  ,204.1,,,,,,,,,,,
