"D:\temp\HonghaoSu\October-2022\Co-batch2\00-Blank-3.D"," +EI TIC Scan 00-Blank-3.d "
"No integration results available"
"D:\temp\HonghaoSu\October-2022\Co-batch2\00-Blank-3.D"," +EI TIC Scan 00-Blank-3.d "
"D:\temp\HonghaoSu\October-2022\Co-batch2\00-Blank-3.D" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"D:\temp\HonghaoSu\October-2022\Co-batch2\049-Co7-1.D" ,"25" ,5.502,5.539,5.555,3022133.96,2985500.41,25.47,57.21,2.48,0.053,0.016,296041.82,346153.00,5.489,5.514,5.555,5.563,296041.82,297865.05,0.82,3319427.00,,,  ,71.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\Co-batch2\049-Co7-1.D" ,"26" ,5.588,5.638,5.712,5282114.42,11719406.25,100.00,100.00,9.73,0.124,0.024,357233.00,828890.00,5.555,5.563,5.704,5.712,299009.09,303298.09,1.83,5582839.00,,,  ,75.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\Co-batch2\049-Co7-1.D" ,"27" ,5.712,5.729,5.762,3141380.89,3492837.37,29.80,59.47,2.90,0.050,0.015,828890.00,446393.00,5.704,5.712,5.762,5.779,303298.09,305014.15,0.89,3445251.00,,,  ,117.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\Co-batch2\049-Co7-1.D" ,"28" ,5.762,5.804,5.820,809766.38,1095542.25,9.35,15.33,0.91,0.058,0.017,446393.00,348417.00,5.762,5.779,5.820,5.828,305014.15,307015.64,0.35,1116210.00,,,  ,71.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\Co-batch2\049-Co7-1.D" ,"29" ,5.820,5.837,5.870,161522.34,238346.37,2.03,3.06,0.20,0.050,0.020,348417.00,334044.00,5.820,5.828,5.853,5.886,307015.64,308731.12,3.00,469110.00,,,  ,71.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\Co-batch2\049-Co7-1.D" ,"30" ,5.928,5.953,6.019,3045848.69,3297180.00,28.13,57.66,2.74,0.091,0.016,339308.00,301322.00,5.853,5.886,6.011,6.085,300157.40,301256.85,1.10,3346306.00,,,  ,71.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\Co-batch2\049-Co7-1.D" ,"31" ,6.087,6.102,6.151,325075.99,496725.48,4.24,6.15,0.41,0.065,0.023,314634.60,296745.00,6.011,6.085,6.151,6.176,314634.60,296745.00,3.53,635600.00,,,  ,71.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\Co-batch2\049-Co7-1.D" ,"32" ,6.176,6.209,6.225,249858.27,353180.44,3.01,4.73,0.29,0.049,0.032,301765.00,298828.58,6.151,6.176,6.226,6.234,297450.31,298828.58,0.43,548249.00,,,  ,71.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\Co-batch2\049-Co7-1.D" ,"33" ,6.317,6.358,6.413,3102490.72,3528499.50,30.11,58.74,2.93,0.096,0.016,338729.00,290255.78,6.259,6.301,6.416,6.441,290326.82,290255.78,1.00,3392787.00,,,  ,71.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\Co-batch2\049-Co7-1.D" ,"34" ,6.476,6.499,6.570,488391.53,1041085.00,8.88,9.25,0.86,0.094,0.025,290209.79,290140.17,6.466,6.474,6.566,6.574,290209.79,290140.17,3.88,778584.00,,,  ,71.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\Co-batch2\049-Co7-1.D" ,"35" ,6.575,6.623,6.681,3766760.14,5107914.53,43.59,71.31,4.24,0.106,0.019,290136.59,302477.00,6.566,6.574,6.673,6.731,290136.59,290058.11,0.63,4056861.00,,,  ,91.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\Co-batch2\049-Co7-1.D" ,"36" ,6.723,6.756,6.801,1913584.65,2169068.97,18.51,36.23,1.80,0.078,0.017,306491.00,278065.45,6.673,6.731,6.814,6.831,280607.70,278065.45,0.79,2193109.00,,,  ,71.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\Co-batch2\049-Co7-1.D" ,"37" ,6.881,6.897,6.953,334994.72,532489.14,4.54,6.34,0.44,0.072,0.026,285606.36,281801.77,6.864,6.880,6.955,6.980,285606.36,281801.77,2.22,619757.00,,,  ,71.1,,,,,,,,,,,
